question,answer
 برخى از خانمهاى جلسه اى، در جلسات زنانه، به شرح و تبيين احكام مى پردازند، كه البتّه اين كار لازمى است، ولى عليرغم اين كه خانمهاى حاضر در جلسه، مقلّد مراجع مختلف هستند، آن خانم فقط فتواى يكى از مراجع محترم را بيان مى كند، بدون اين كه نام آن مرجع تقليد را ببرد. اگر كسانى كه مقلّد آن مرجع تقليد نيستند، بدون توجّه به آن فتوا عمل كنند، آيا مسئوليّتى متوجّه گوينده مى باشد؟ راه جبرانش چگونه است؟, در چنين جلساتى، كه مقلّدين مراجع مختلف وجود دارند، لازم است فتاواى مراجع معروف را، اگر با هم تفاوتى دارد، تبيين كند; در غير اين صورت مسئوليّت دارد.صفحه26صفحه27<H2 class=content_h2>3- احكام طهارت و نجاست</H2><H3 class=content_h3>مقدّمه</H3>اسلام دين پاك و پاكيزه اى است و پاكيزگى را دوست دارد و به آن سفارش مى نمايد و براساس آن احكام و قوانينش را تنظيم مى كند. نظافت و پاكيزگى در اين دين مقدّس، آنقدر ارزشمند و مهم است كه در برخى روايات، به عنوان بخشى از ايمان از آن ياد شده است(1); يعنى مسلمانى كه طهارت و نجاست و نظافت را رعايت نمى كند ايمانش كامل نيست.اين دين پاك و مبرّى از هرگونه تحريف و پيرايه، هم دستوراتى در زمينه نظافت فردى دارد و هم سفارش به نظافت اجتماعى مى كند، عمل كردن به اين دستورات، مخصوصاً در عصر و زمان ما، لازم و ضرورى است.احكامى كه در اين فصل مطرح مى شود،بخشى از مسائلى است كه اين دين پاك آسمانى، در اين زمينه مطرح كرده است. اميد است كه بدان توجّه و سپس عمل كنيم.تذكّر: لازم به ذكر است كه مردان و زنان در بسيارى از احكام طهارت و نجاست مشتركند و تنها قسمت كمى از احكام اين باب مختصّ بانوان است. در اينجا تنها به احكام اختصاصى بانوان در مسأله طهارت و نجاست مى پردازيم.(1)
 در يكى از جلسات روضه زنانه، خانم گوينده مى گفت: شستشوى لباس در دو وقت، كار خوبى نيست:نخست به هنگام شب; زيرا موقع استراحت آب است،و ديگر روزهاى جمعه; بخاطر اين كه آب مهريّه حضرت زهرا(عليها السلام) است; مگر اين كه لباس سيّدى را به همراه لباسهايتان بشوئيد!آيا اين سخنان صحيح است؟ در صورت عدم صحّت، لطفاً چنين گويندگانى را نصيحت كنيد., اين سخنان صحيح نيست و لازم است اين خواهران بدون تحقيق عهده دار بيان مسائل نشوند، كه مسئوليّت آن سنگين است.<H3 class=content_h3>استبراء</H3>مسأله 19: براى زنان استبراء نيست، بنابراين هرگاه رطوبت مشكوكى از آنها خارج شود، پاك است; وضو و غسل هم ندارد.مسأله 20: غير از «بول» و «منى» رطوبتهاى ديگرى كه از انسان خارج مى شود چند قسم است:اوّل: آبى كه گاه بعد از بول بيرون مى آيد و كمى سفيد و چسبنده است و به آن «ودى» مى گويند.دوم: آبى كه هنگام ملاعبه و بازى كردن با همسر بيرون مى آيد و به آن «مذى» مى گويند و اين موضوع در مورد بانوان هم جارى است.سوم: آبى كه گاه بعد از منى بيرون مى آيد و به آن «وذى» مىگويند.همه اين آبها در صورتى كه مجرا آلوده به بول و منى نباشد، پاك است و وضوء و غسل را هم باطل نمى كند.
 معمولا وقتى كه لباس زيرم را مى شويم لكّه هاى سفيد لزجى بر روى آن مشاهده مى كنم و فكر مى كنم كه غالب زنان به چنين مسأله اى مبتلا مى باشند. آيا اين لكّه ها پاك است؟, آرى پاك است.
 بتازگى و در كنار مرقد پاك و منّور حضرت ثامن الحجج(عليه السلام)مراسم عقدمان انجام شد. از آن پس هرگاه با شوهرم دست مى دهم و يا حتّى سخن مى گويم، مايعى از من خارج مى شود، البتّه در اين گونه موارد به اوج لذّت نمى رسم; آيا اين مايع پاك است؟, آرى پاك است.<H3 class=content_h3>مسكر مايع و الكلها</H3>
 پرستار بخش زنان و زايمان يكى از بيمارستانها هستم و در مورد طهارت و نجاست الكل سؤالى داشتم: آيا استفاده از الكل براى ضدّ عفونى كردن محلّ تزريقات، يا ناف بچّه، موجب نجاست پوست مى شود؟, اشكالى ندارد و پاك است.
 عطرها و ادكلن ها بطور گسترده، مورد مصرف خانمها قرار مى گيرد، حال اگر اينها حاوى الكل باشند از نظر طهارت چه حكمى دارد؟ منظور عطرها و ادكلن هاى خارجى است كه در بازار به فروش مى رسد، آيا براى نماز اشكال دارد؟, اشكالى ندارد.<H3 class=content_h3>عرق جُنب از حرام</H3>مسأله 25: نزديكى كردن با همسر در حال عادت ماهيانه، يا در حال روزه ماه مبارك رمضان حرام است و اگر عرق كند، احتياط واجب آن است كه با آن معامله عرق جنب از حرام كند.(1)
 هرگاه زنى كه در حال نفاس است و يا زن مستحاضه قبل از انجام دادن وظائفش (نعوذ باللّه) با همسرش نزديكى كند و عرق نمايد و يا دخترى (پناه بر خدا) استمناء كند، آيا عرق اينها نيز عرق جُنب از حرام محسوب مى شود؟, بنابر احتياط واجب احكام جُنب از حرام در اين موارد نيز جارى مى شود و مادام كه عرق در بدن يا لباس است و خشك نشده نماز خواندن با آن اشكال دارد; ولى در هر حال نجس نيست.<H3 class=content_h3>راههاى ثابت شدن نجاست</H3>مسأله 27: نجس بودن چيزى از سه راه ثابت مى شود:اوّل آن كه انسان يقين پيدا كند; ولى گمان، حتّى گمان قوى، كافى نيست.دوم آن كه كسى كه چيزى در اختيار اوست (مثل صاحب خانه) خبر دهد كه آن چيز نجس است.سوم آن كه دو نفر عادل و يا حتّى يك عادل گواهى دهد.
 زنى هستم كه در مورد نجاست زود حكم به نجاست مى كنم، مى خواستم بدانم كه آيا در مسأله نجاست يقين لازم است؟ يا ظنّ و گمان كافى است؟, در مسأله نجاست يقين قطعى و صد در صد لازم است و مادامى كه چنين يقينى حاصل نشود تكليفى ندارد و اگر يقين صد در صد حاصل شد اجتناب لازم است; مگر در موارد اضطرار.
 پس از بازگشت از مشهد مقدّس خانمهاى همسايه به ديدنم آمدند، يكى ازبچّه هاى همسايه، قسمتى از فرش منزل ما را نجس كرد، اكنون فراموش كرده ام كه كجاى آن فرش دوازده مترى نجس شده است، آيا مى توان روى اين فرش نماز خواند؟ اگر دست يا پاى مرطوب روى يك قسمت آن نهاده شود، آيا نجس مى شود اينجانب فهيمه الف مبتلا به بيمارى وسواس هستم و متأسّفانه بسيار شديد و غير قابل تحمّل است، مثلا در مورد تطهير و غسل وسواس من به گونه اى است كه گاهى اوقات وقتى شب به حمام مى روم نزديك طلوع آفتاب موفّق به تطهير و انجام غسل مى شوم! باور كنيد در اين چند سال به اندازه بيست سال آب مصرف كرده ام! براى درمان اين بيمارى به نزد برخى از علما رفتم، ولى مؤثّر نشد، به مشهد رفتم، با چه گرفتاريهايى كه در سفر و هنگام تشرّف داشتم و بسيار دعا و تضرّع كردم، ولى متأسّفانه شفا نيافتم. اين بيمارى نزديك است مرا از پاى در آورد،نه تنها خود، كه خانواده را نيز نگران و در زحمت انداخته ام، وسواس باعث شده كه نتوانم عبادتهايم را انجام دهم، بدين جهت ماه رمضان را سفر مى كنم، تا مشكل روزه گرفتن نداشته باشم; اگر چه در سفر نيز هيچ چيز نمى خورم! لطفاً مرا راهنمايى كنيد تا از اين وضع غمبار نجات يابم و از زخم زبان اطرافيان آسوده گردم., مشكل شما در واقع از خود شماست و مقصّر اصلى خودتان هستيد و به همين دليل دعاى شما هم مستجاب نمى شود و علّت اصلى آن ندانستن مسأله است. مسأله اصلى اين است كه بر شما واجب نيست يقين به طهارت و غسل و مانند آن پيدا كنيد، آنچه بر شما، به عنوان يك وظيفه شرعى، لازم مى باشد اين است كه به مقدار ساير مردم آب بريزيد و به همان قناعت كنيد، هر چند در غسل و طهارت شك داشته باشيد و ما مسؤوليّت شرعى اين كار را مى پذيريم.شما از امروز فقط به مقدار مردم آب بريزيد و قناعت كنيد و با بدن نجس و حال جنابت (به گمان خودتان) نماز بخوانيد و هيچ اشكالى هم ندارد و نماز و روزه شما كاملا صحيح است و ما به اين وسيله برشما، و تمام افراد وسواسى، إتمام حجّت مى كنيم و مخالفت با آن گناه است. ما از خداوند مى خواهيم كه به شما توفيق توجّه به اين مسأله را عنايت كند و از دام شيطان نجات پيدا كنيد.
 مدّتى قبل، تقريباً در همه امور، در دام وسواس افتادم. اكنون تا حدودى آن را از خود دور كردهام، ولى مشكلى كه هنوز دارم طول كشيدن غسل (در حدود چهل دقيقه) و گاهى هم تكرار الفاظ نماز است. لطفاً مرا راهنمايى كنيد., بهترين راه براى ترك وسواس، بى اعتنايى به آن است; يعنىملاحظه كنيد ديگران چه مقدارى، مثلا براى غسل، معطّل مى شوند،شما هم چنين كنيد، مثلا ده دقيقه يا حداكثر يك ربع ساعت; اگر شيطانگفت درست نشد، اعتنا نكنيد عمل شما صحيح است و نگران نباشيد، و ما مسؤوليّت آن را بر عهده مى گيريم.
 آيا اعمال وسواسى ها ضررى به اعتقادات آنها نمى زند؟ به عنوان مثال زن وسواسى كه يك چيز نجس را ده بار آب مى كشد، او در واقع وقتى دوبار با آب قليل آب كشيد معتقد است كه هنوز نجس است، در حالى كه خدا و پيامبر(صلى الله عليه وآله) و ائمه(عليهم السلام) مى گويند پاك است، آيا چنين شخصى عملا با شرع مقدّس اسلام مخالفت نكرده است؟, عمل به وسواس كار خلافى است; ولى ضرر به اعتقادات او نمى زند.
 در مصرف آب زياده روى مى كنم و هر چه تلاش مى نمايم نمى توانم جلوى اين كار زشت خود را بگيرم. به همين جهت همواره با شوهرم مشاجره داريم.او مى گويد: «گذشته از اين كه كار حرامى انجام مى دهى و ضامن هستى، من كه شوهر تو هستم راضى به عمل تو نيستم». لطفاً بفرمائيد:الف: آيا كار من حرام و موجب ضمان است؟ب: آيا در وضو و نمازم اشكالى ايجاد مى شود؟, سعى كنيد به مقدار متعارف آب مصرف كنيد. اگر بيش از آن باشد و همسرتان راضى نباشد،حرام و موجب ضمان است و اگر شيطان وسوسه كند كه فلان مقدار آب كافى نيست، اعتنا نكنيد و اعمالتان اشكالى نخواهد داشت و ما مسئوليّت آن را به عهده مى گيريم و به فرض كه همسرتان هم راضى باشد اسراف در آب وضو و غسل جايز نيست.
 دخترى 20 ساله هستم و به شدّت وسواس دارم، اين وسواس مانع ترقّى من شده است. يك بار براى شما در اين مورد نامه نوشتم و شما اين گونه ,جواب داديد: «ما راهى نشان مى دهيم كه به افراد زيادى توصيه كرده ايم و بسيار مؤثّر است و آن اين است كه شما به افراد متديّن معمولى نگاه كنيد، ببينيد آنها چقدر آب مى كشند، به همان مقدار قناعت كنيد. بقيّه براى شما پاك است و ما مسؤوليّت آن را شرعاً مى پذيريم»، در حالى كه من در نامه قيد كرده بودم كه فقط از شما يك فتوى مى خواهم و آن اين كه: «چيزهاى نجس و متنجّس را براى مدّتى بر من پاك بدانيد»; ولى شما جوابى كه در بالا ذكر شد را مرقوم داشتيد و من باز هم روى حرفم هستم، اين فتوى را بدهيد تا من چيزهاى نجس و متنجّس را پاك بدانم. شما بايد تسليم حكم خدا باشيد. حكم خدا اين است كه به مقدار متعارف بشوئيد، بقيّه براى شما «پاك» است، هر چند حالت وسواس به شما مى گويد نجس است، اين روشن ترين راه است، و بسيارى از اين طريق درمان شده اند.
 چند مسأله در مورد طهارت و نجاست برايم پيش آمده كه همواره فكر و ذهنمرا مشغول كرده است. و مرا به شدّت عذاب مى دهد، از درس و مطالعهافتاده ام و خانواده ام نيز از رفتار من به تنگ آمده اند. شما را به مقام رسول اللّه(صلى الله عليه وآله)قسم مى دهم، مرا نجات دهيد. اگر شما بفرمائيد: «اعتنابه اين موارد حرام است; و در صورت اعتنا، به جهنّم مى روى» و گناهش را به گردن بگيريد، نجات پيدا مى كنم., به يقين اعتنا كردن شما به مواردى كه برخواسته از وسواس است حرام مى باشد و بايد آن را ترك كنيد و ما مسؤوليّت آن را به گردن مى گيريم.
 تكليف من در موارد زير چيست؟الف: گاهى زمينى نجس مى شود، بعداً برف يا باران مى آيد و تمام زمين ها خيس مى شود، مردم و وسايل نقليّه از روى آن زمين نجس عبور مى كنند و به همه جا ميروند (مسجد، حرم، نانوائى، قصّابى، داخل اتوبوس شركت واحد، مدرسه، بازار و...) و به خاطر خيس بودن زمين، نجاست را به همه آن مكان ها منتقل مى كنند، به همين جهت آن مكان ها را نجس مى دانم، همان گونه كه گرد و خاك هاى آن خيابان ها و مكان ها را نيز نجس مى دانم.ب: هرگاه توالت مى روم با اين كه در موقع بول كردن بسيار مواظب هستم تا بول ترشّح نكند، در عين حال قطع پيدا مى كنم كه بول به شلوار و پايم ترشّح كرده است; لذا توالت رفتن برايم مشكل شده و تا آن موضع را آب نكشم راحت نمى شوم.ج: در بعضى مواقع پشت و جاهاى ديگر دستم بهلبه ميز و يا لبه كتاب و يا چيزهاى زبر برخورد مى كند و بدون اين كه دستم زخم شود، يا خونى بيرون بيايد، از گوشه و كنار ناخنها و جاهاى ديگر دستم چيزى با احساس كمى درد جدا مى شود و يا روى انگشت هاى دستم پوست هاى مختصرى وجود دارد كه با فرو بردن دست به داخل جيب و يا تماس گرفتن با چيز ديگر، آنها با احساس كمى درد از دستم جدا مى شود، لطفاً در اين موارد تكليف مرا بيان فرمائيد., بدون شك شما گرفتار وسواس هستيد; وظيفه شما اين است كه به ساير مردم نگاه كنيد و ببينيد آنها تا چه حد به اين امور اعتناء مى كنند و علم به نجاست پيدا مى كنند (منظور قشر متدّين است) آن مقدار كه آنها يقين پيدا مى كنند و آب مى كشند شما هم آب بكشيد و نسبت به بقيّه تكليفى نداريد; هر چند فكر شما به شما بگويد نجس است; زيرا در اين گونه موارد افراد متدّين عادى، علم و يقين به نجاست پيدا نمى كنند. ضمناً پوستهائى كه از دست و بدن جدا مى شود محكوم به پاكى است، مگر اين كه شما آنها را با فشار بكنيد و محلّ آن سوزش پيدا كند، كه در اين صورت احتياط كنيد.
 منزل ما از نظر طهارت مشكل دارد; فرشها، دربها، ديوار اطاقها، پنجره ها، پرده ها، بخارى زمينى، بخارى ديوارى، جارو برقى، كمدها، بعضى از كتاب ها، بالشت ها، رختخواب و تشك ها، قاب عكس ها و خلاصه تمام زندگى ما نجس است، گفتم نامه اى براىشما بنويسم تا شايد در مورد من فتواى خاص (اجازه مخصوص) بدهيد و اينجانب را از معافيّت مخصوصى در مورد چيزهايى كه تا به حال نجس شده برخوردار سازيد، تا همه چيز و همه كس براى من طاهر باشد., شما گرفتار وسواس هستيد و تنها درمان آن بى اعتنايى است. فتواى ما براى شما اين است كه ببينيد مؤمنان ديگر چه اندازه به اين امور اعتنا مى كنند، به همان اندازه اعتنا كنيد; بقيّه براى شما پاك است.<H3 class=content_h3>مسائل متفرّقه نجاسات</H3>
 آيا مايعى كه از كيسه آب جنين (مايع آمنيوتيك) خارج مى شود حكم نجاست دارد؟ شايان ذكر است كه كيسه آب جنين ممكن است قبل از زايمان پاره شود و از طريق مجراى تناسلى خارج گردد., محتوى كيسه آب جنين نجس نيست; مگر اين كه آلوده به خون باشد.
 چنانچه شى اى با تماسّ با نجاسات نجس شود، سپس اين شىء نجس، با شىء دومى و شىء دوم با شىء سوم و... تماس پيدا كند، حال اين واسطه ها تا چه تعداد باعث انتقال نجاست به شىء بعدى مى شود؟, تا دو واسطه باعث انتقال نجاست مى شود، نه بيشتر; يعنى اگر دستنجس، مثلا، به دست ديگرى بخورد آن هم نجس مى شود و اگر آن، به شىء سومى بخورد نجس مى شود; ولى اگر شىء سوم به چهارمى بخورد نجس نخواهد شد و اين امر بسيارى از مشكلات باب طهارت و نجاست را حل مى كند.
 با توجّه با اين كه امروزه بسيارى از لوازم آرايشى مورد مصرف بانوان مسلمان از جفت جنين تهيّه مى شود، استفاده ومصرف آن چه حكمى دارد؟ و آيا جفت جنين نجس است، يا متنجّس؟, دليلى بر نجاست جفت نيست (همانطور كه در تعليقه بر عروة الوثقى نيز نوشته ايم) بنابراين اگر آلوده به خون نباشد، يا شك داشته باشيم، پاك است.<H3 class=content_h3>مطهّرات</H3>
 شوهرم سگى را در منزل نگهدارى مى كند و گاهى از اوقات ته مانده برخى از غذاهايى كه براى خودمان آماده مى كنيم جلوى او مى گذارد و حيوان آن ظرف را مى ليسد، لطفاً بفرمائيد:اوّلا: نگهداشتن سگ در منزل چه حكمى دارد؟ثانياً: چنين ظرفهايى را چگونه تطهير كنيم؟, اوّلا: نگه داشتن سگ در منزل در صورتى جايز است كه براى حفظ منزل و مانند آن لازم باشد.ثانياً: هر گاه سگ ظرفى را ليسيده يا از آن آب يا مايع ديگرى خورده باشد، ابتدا بايد آن را با خاك پاك كه مخلوط با كمى آب باشد خاك مال كرد و سپس دو مرتبه در آب قليل، يا يك مرتبه در آب كر يا جارى شست.
 در جلسه هفتگى خانمهاى محّله ما، اين سؤال مطرح شده است: در احكام آمده است كه اگر سگ به ظرفى زبان بزند بايد آن را خاك مال كرد، حال با وجود موادّ بهداشتى و پاك كننده اى مثل الكل، مايعات ظرفشوئى، انواع مايعات و پودرهاى پاك كننده، آيا باز هم خاك مال كردن لازم است؟, آرى لازم است.
 متأسّفانه شوهرم مبتلا به يكى از گناهان كبيره خطرناك، يعنى شرابخوارى است، ظرفهايى را كه با شراب نجس مى كند، چگونه پاك كنم؟, ظرفى را كه با شراب نجس شده، بايد با آبقليل سه مرتبه بشويند و دست در آن بمالند و مستحبّ است هفت مرتبه شسته شود.مسأله 45: هر گاه چيزى با بول پسر يا دختر شير خوارى كه غذاخور نشده نجس گردد، چنانچه يك مرتبه آب روى آن بريزند پاك مى شود و در لباس و فرش و مانند آن فشار لازم نيست، ولى احتياط مستحب آن است كه دو مرتبه بريزند.
 من در بخش تزريقات بانوان كار مى كنم، در برخى موارد پس از تزريق آمپول به داخل رگ و با يقين به تماسّ سوزن با خون داخل رگ، وقتى كه تزريق تمام مى شود، اثرى از خون بر روى سوزن ديده نمى شود، آيا اين سوزن پاك است، يا نجس مى باشد؟, پاك است.
 براى آماده كردن نان ميهمانى، كه جهت بازگشت شوهرم از مكّه مكرّمه داشتيم، تصميم گرفتم خودم در منزل آن را بپزم، بدين جهت آرد زيادى را خمير كردم، ناگهان خون دماغ شدم و قطره اى خون به داخل خميرها افتاد، آيا راهى براى تطهير اين همه خمير نجس، كه همه آنها را مخلوط كرده ام، وجود دارد؟, ظاهراً راه قابل ملاحظه اى ندارد.صفحه38<H2 class=content_h2>4- مسائل وضو</H2>مقدّمهبدون شك «وضو» داراى دو فايده روشن است:«فايده بهداشتى» و «فايده اخلاقى و معنوى» از نظر بهداشتى شستن صورت و دستها، آن هم پنج بار يا يا لااقل سه بار در شبانه روز، اثر قابل ملاحظه اى در نظافت بدن دارد، مسح كردن بر سر و پشت پاها، كه شرط آن رسيدن آب به موها، يا پوست بدن است، سبب مى شود كه اين اعضا را نيز پاكيزه بداريم، ضمن اينكه تماسّ آب با پوست بدن، اثر خاصّى در تعادل اعصاب «سمپاتيك» و «پاراسمپاتيك» دارد.و از نظر اخلاقى و معنوى چون با قصد قربت و براى رضاى خدا انجام مى شود، اثر تربيتى دارد; زيرا مفهوم كنائى وضو اين است كه: «از فرق تا قدم در راه اطاعت تو گام بر مى دارم.» در روايتى از امام هشتم(عليه السلام) اشاراتى به اين مطلب شده است.(1)
 من در وضو دستهايم را سه بار مى شستم، پس از ازدواج شوهرم گفت: «اين كار اشكال دارد» حال اگر شخصى در وضو، صورت و دستها را سه بار بشويد، وضو و عباداتش چه حكمى دارد؟, وضو و عباداتش اشكال دارد. و لكن بايد توجّه كرد كه منظور از سه بار، يا دوبار شستن اين است كه عضو مورد نظر يك بار كاملا شسته شود، سپس بار دوم را شروع كند و كامل بشويد، و همچنين بار سوم. امّا ريختن آب بر عضوى، دوبار، يا بيشتر، تا زمانى كه از شستن كامل آن فارغ نشده اشكالى ندارد.
 مسح سر خانمها، كه موى سر آنها بلند است، بايد چگونه باشد؟, كسى كه موى سر او به اندازه اى بلند است كه اگر مثلا شانه كند به صورتش مى ريزد، يا به جاهاى ديگر سر مى ريزد، بايد بيخ موها را مسح كند و بهتر است كه قبل از وضو، فرق سر را باز كند تا پس از شستن دست چپ، بين موها، يا پوست سر را براحتى مسح نمايد.
 لطفاً وظيفه خانمهايى كه موى مصنوعىكشت كرده اند را به هنگام مسح سر بيان فرمائيد؟, در صورتى كه آب به پوست سر برسد مسح آنها صحيح است، در غير اين صورت حكم جبيره را دارد.
 طلبه حوزه علميّه خواهران يكى از شهرستانها هستم كه در يك مدرسه موقوفه حجره اى به ما داده اند. گاهى از اوقات ميهمانى براى ما مى آيد و از آب اين مدرسه براى وضو استفاده مى كند، آيا براى ميهمانان ما استفاده از آب مدرسه جهت وضو و مانند آن جايز است؟, اشكال دارد; مگر اين كه پذيرفتن چنان ميهمانى برخلاف شرايط وقف نباشد.مسأله 52: هر گاه زن در جايى وضو بگيرد كه نامحرم او را ببيند، وضوى او باطل نيست; هر چند گناه كرده است.
